recency,frequency,monetary,segment
2014-12-06,18,1193,P0
2014-09-30,15,1072,P0
2015-03-12,30,2000,P0
2015-01-17,22,1583,P0
2015-02-28,16,1086,P0
2015-02-12,27,1996,P0
2014-11-14,21,1505,P0
2015-02-04,20,1424,P0
2014-08-23,19,1408,P0
2014-02-02,16,1324,P0
2015-01-27,23,1507,P0
2014-12-26,24,1740,P0
2014-10-14,26,1775,P0
2015-03-05,19,1408,P0
2015-02-24,16,1145,P0
2015-02-02,18,1282,P0
2015-02-27,19,1470,P0
2015-03-10,23,1703,P0
2014-08-27,24,1632,P0
2015-01-09,27,1864,P0
2015-02-27,19,1225,P0
2015-02-17,22,1493,P0
2015-01-08,29,2146,P0
2015-03-12,15,960,P2
2015-01-29,25,1746,P0
2014-10-26,26,1864,P0
2014-10-08,22,1496,P0
2014-06-11,19,1412,P0
2014-12-21,30,1967,P0
2014-10-03,19,1357,P0
2014-11-09,17,1165,P0
2015-02-10,25,1512,P0
2014-10-24,18,1505,P0
2015-02-19,25,1671,P0
2014-10-31,15,1134,P0
2015-02-28,26,1857,P0
2014-02-20,22,1449,P0
2015-03-12,25,1845,P0
2014-11-21,25,1878,P0
2015-03-04,17,964,P2
2015-03-11,22,1478,P0
2015-01-04,14,998,P2
2014-11-09,18,1238,P0
2015-02-14,19,1275,P0
2015-02-25,18,1189,P0
2015-01-31,19,1210,P0
2015-03-12,25,1584,P0
2015-01-01,17,1227,P0
2014-12-07,19,1437,P0
2015-03-11,28,2046,P0
2015-03-02,22,1704,P0
2015-02-13,25,1852,P0
2014-10-01,30,2156,P0
2015-02-15,20,1354,P0
2015-02-21,26,1832,P0
2014-12-30,18,1193,P0
2015-03-02,30,2023,P0
2015-02-14,22,1660,P0
2015-02-01,22,1652,P0
2015-01-25,28,1900,P0
2015-02-25,26,1943,P0
2015-03-02,27,1842,P0
2015-03-03,28,1916,P0
2014-07-18,17,1214,P0
2014-12-20,24,1464,P0
2015-01-16,15,1160,P0
2015-01-19,17,1222,P0
2015-03-01,22,1599,P0
2015-01-16,19,1396,P0
2014-10-14,20,1437,P0
2015-01-01,27,1752,P0
2015-03-04,20,1513,P0
2015-01-25,15,1076,P0
2014-10-17,14,1053,P2
2015-03-16,27,1915,P0
2014-12-25,25,1923,P0
2015-01-16,27,1896,P0
2015-03-11,15,1211,P0
2015-01-20,20,1182,P0
2015-03-06,24,1753,P0
2015-01-04,23,1688,P0
2015-02-23,21,1538,P0
2015-03-09,15,985,P2
2014-12-21,25,1948,P0
2014-11-04,18,1261,P0
2015-03-03,21,1440,P0
2015-03-04,18,1257,P0
2015-03-13,19,1362,P0
2015-02-05,20,1468,P0
2015-03-05,27,1758,P0
2015-01-29,25,1700,P0
2015-01-16,14,977,P2
2015-02-16,12,880,P2
2015-02-08,20,1374,P0
2015-02-10,16,1160,P0
2014-12-05,22,1577,P0
2015-01-07,20,1351,P0
2015-03-08,20,1225,P0
2015-01-22,24,1876,P0
2015-02-09,23,1756,P0
2015-03-14,23,1526,P0
2015-03-03,15,991,P2
2015-03-11,14,1001,P2
2015-02-05,16,1239,P0
2015-03-14,20,1402,P0
2015-02-20,20,1251,P0
2015-02-24,22,1715,P0
2014-11-28,15,941,P2
2014-11-04,22,1640,P0
2015-02-24,17,1126,P0
2015-03-14,18,1301,P0
2014-08-24,20,1363,P0
2014-12-15,15,929,P2
2015-03-11,20,1422,P0
2014-11-12,24,1627,P0
2015-02-03,18,1185,P0
2015-02-17,23,1567,P0
2015-01-27,24,1616,P0
2014-11-08,27,1807,P0
2014-07-23,21,1613,P0
2015-03-14,22,1631,P0
2015-02-22,17,1190,P0
2014-08-10,18,1233,P0
2015-03-07,21,1412,P0
2015-03-07,19,1387,P0
2015-01-23,22,1649,P0
2015-03-12,20,1325,P0
2015-03-08,19,1241,P0
2015-03-13,25,1695,P0
2014-12-17,21,1487,P0
2015-01-20,18,1197,P0
2014-12-29,20,1430,P0
2015-03-03,18,1185,P0
2014-12-16,19,1300,P0
2015-01-18,20,1567,P0
2014-12-24,17,1251,P0
2013-12-23,13,876,P2
2015-02-08,12,732,P2
2015-01-01,24,1774,P0
2014-12-07,16,1221,P0
2015-02-22,25,1814,P0
2015-01-27,19,1377,P0
2015-02-16,10,599,P2
2015-03-03,23,1595,P0
2015-02-11,15,950,P2
2015-02-21,25,1788,P0
2014-12-19,17,1244,P0
2015-02-07,19,1358,P0
2015-03-11,21,1531,P0
2014-11-18,21,1502,P0
2015-02-26,17,1138,P0
2015-02-21,18,1222,P0
2015-03-09,20,1445,P0
2015-01-19,22,1519,P0
2015-01-30,26,1879,P0
2014-10-03,15,983,P2
2015-02-09,26,1965,P0
2015-03-11,22,1613,P0
2015-03-15,27,1927,P0
2015-01-31,13,825,P2
2015-01-23,25,1703,P0
2014-12-30,18,1307,P0
2015-02-25,21,1280,P0
2015-03-02,28,1933,P0
2014-10-21,20,1383,P0
2015-03-13,26,1792,P0
2015-01-25,18,1253,P0
2015-02-21,20,1239,P0
2014-11-30,22,1444,P0
2014-10-06,16,1046,P0
2015-03-02,22,1742,P0
2014-12-05,18,1308,P0
2014-12-21,18,1168,P0
2014-11-12,19,1151,P0
2015-03-05,15,962,P2
2015-03-13,18,1162,P0
2014-09-03,9,671,P2
2014-12-10,14,894,P2
2014-08-13,15,928,P2
2014-11-06,17,1075,P0
2015-02-17,17,1215,P0
2015-02-13,19,1324,P0
2015-03-03,19,1187,P0
2015-03-13,24,1660,P0
2015-03-07,25,1823,P0
2014-07-08,10,626,P2
2015-02-09,25,1793,P0
2014-06-06,17,1140,P0
2015-02-01,23,1606,P0
2015-01-07,20,1379,P0
2014-12-23,24,1904,P0
2015-02-09,12,753,P2
2015-03-11,20,1323,P0
2015-03-14,19,1304,P0
2015-02-19,20,1371,P0
2015-02-06,19,1199,P0
2014-10-26,30,2273,P0
2014-09-27,27,1808,P0
2015-03-15,12,948,P2
2015-01-22,19,1334,P0
2015-02-23,28,1935,P0
2014-08-29,18,1436,P0
2015-02-19,22,1600,P0
2015-02-27,23,1755,P0
2015-02-19,20,1393,P0
2015-01-25,22,1583,P0
2014-12-05,18,1300,P0
2015-02-14,22,1604,P0
2014-09-10,20,1444,P0
2014-10-26,17,993,P2
2015-01-13,23,1571,P0
2015-02-22,13,1031,P2
2015-02-03,30,1992,P0
2015-02-25,23,1500,P0
2015-03-10,20,1613,P0
2015-01-26,18,1352,P0
2015-03-15,15,1082,P0
2014-03-03,12,711,P2
2014-02-05,17,1108,P0
2015-02-26,16,1304,P0
2014-11-16,17,1147,P0
2014-09-07,21,1491,P0
2015-02-23,19,1465,P0
2015-02-11,20,1604,P0
2015-02-19,15,1074,P0
2014-12-04,25,1782,P0
2015-02-13,20,1503,P0
2015-02-10,15,1085,P0
2015-02-01,19,1539,P0
2015-03-09,18,1018,P0
2015-01-29,26,1611,P0
2014-12-13,16,1074,P0
2015-02-25,21,1525,P0
2014-12-18,16,1125,P0
2015-02-18,20,1433,P0
2014-09-07,33,2329,P0
2015-02-07,23,1501,P0
2015-02-26,27,2009,P0
2015-02-15,25,1919,P0
2015-03-02,21,1512,P0
2014-12-13,19,1167,P0
2015-01-02,20,1441,P0
2015-02-07,27,1900,P0
2015-03-07,25,1591,P0
2015-03-01,15,1151,P0
2014-10-13,16,964,P2
2014-10-13,18,1144,P0
2015-02-10,19,1215,P0
2015-02-20,20,1406,P0
2015-02-21,13,901,P2
2014-11-30,10,648,P2
2015-02-26,19,1342,P0
2015-01-09,23,1611,P0
2015-02-05,20,1289,P0
2015-01-18,15,1028,P0
2015-02-25,20,1331,P0
2014-12-27,27,1787,P0
2015-02-18,20,1401,P0
2014-11-11,19,1374,P0
2015-03-01,28,1950,P0
2015-02-28,27,1685,P0
2015-03-14,13,781,P2
2015-01-14,19,1384,P0
2015-01-26,14,973,P2
2014-10-30,20,1375,P0
2015-02-12,19,1326,P0
2014-07-01,23,1794,P0
2015-02-25,26,1759,P0
2014-11-09,21,1347,P0
2015-03-06,22,1568,P0
2015-03-13,20,1419,P0
2015-03-06,19,1434,P0
2014-12-02,27,1784,P0
2014-09-22,13,887,P2
2015-03-05,21,1323,P0
2014-05-20,16,1320,P0
2015-02-23,26,1894,P0
2015-03-16,20,1360,P0
2015-02-28,26,1777,P0
2015-02-05,25,1832,P0
2015-03-11,14,950,P2
2015-01-14,17,1172,P0
2014-12-29,16,1043,P0
2015-02-23,21,1456,P0
2015-03-13,22,1394,P0
2015-03-15,20,1393,P0
2015-02-03,18,1223,P0
2015-03-08,17,1187,P0
2015-02-26,26,1763,P0
2015-03-02,15,1044,P0
2014-12-10,23,1573,P0
2015-01-07,19,1347,P0
2015-02-22,22,1496,P0
2014-07-29,15,1035,P0
2015-03-04,23,1619,P0
2015-01-15,19,1232,P0
2015-03-08,17,1232,P0
2015-02-10,24,1672,P0
2015-02-22,27,2087,P0
2014-12-31,22,1542,P0
2014-07-16,19,1412,P0
2015-02-17,17,1185,P0
2015-02-28,21,1401,P0
2014-11-20,24,1776,P0
2015-01-27,16,1197,P0
2014-11-23,24,1832,P0
2014-12-02,13,927,P2
2015-03-15,26,1726,P0
2014-11-19,26,1986,P0
2014-12-16,19,1384,P0
2015-02-16,14,955,P2
2015-01-24,14,966,P2
2014-11-11,18,1105,P0
2015-02-15,20,1389,P0
2015-02-01,19,1311,P0
2015-02-24,24,1745,P0
2015-02-17,32,2051,P0
2015-02-22,17,1033,P0
2014-12-10,23,1487,P0
2015-03-03,25,1954,P0
2014-10-12,16,1033,P0
2015-01-25,18,1385,P0
2015-01-02,20,1313,P0
2015-01-26,17,1227,P0
2015-03-01,15,1105,P0
2014-12-25,16,1191,P0
2014-12-22,17,1246,P0
2014-11-05,15,1110,P0
2015-01-21,26,1784,P0
2015-01-21,17,1088,P0
2015-02-06,28,2124,P0
2015-01-09,28,2088,P0
2015-01-11,21,1439,P0
2014-12-31,18,1230,P0
2015-03-09,28,1976,P0
2015-01-27,18,1151,P0
2014-11-23,21,1467,P0
2014-11-10,15,1075,P0
2015-03-02,17,1245,P0
2015-01-07,18,1241,P0
2014-08-13,22,1569,P0
2015-01-08,24,1647,P0
2015-02-20,22,1656,P0
2014-11-05,17,1167,P0
2015-01-01,16,993,P2
2015-02-21,19,1354,P0
2015-01-02,20,1523,P0
2015-03-15,23,1592,P0
2015-03-01,12,908,P2
2015-01-10,22,1330,P0
2014-12-13,32,2174,P0
2014-11-07,19,1325,P0
2014-11-29,15,1082,P0
2015-03-11,19,1397,P0
2015-02-28,18,1261,P0
2014-07-12,17,1186,P0
2014-09-19,18,1190,P0
2015-02-18,17,1028,P0
2015-01-06,15,890,P2
2015-02-26,22,1484,P0
2014-12-28,21,1553,P0
2015-02-14,23,1681,P0
2015-02-03,22,1627,P0
2015-02-04,25,1790,P0
2014-10-08,23,1629,P0
2014-06-24,22,1577,P0
2014-12-21,23,1548,P0
2014-11-16,21,1411,P0
2015-03-07,19,1495,P0
2015-03-16,16,1248,P0
2015-01-28,20,1314,P0
2014-03-29,6,440,P2
2015-01-26,14,963,P2
2014-12-29,18,1284,P0
2015-02-09,17,1166,P0
2015-03-16,17,1104,P0
2015-02-24,24,1687,P0
2015-03-02,19,1320,P0
2015-02-09,17,1146,P0
2015-02-15,18,1223,P0
2015-01-16,27,1778,P0
2015-02-17,23,1529,P0
2015-03-05,25,1702,P0
2014-11-30,26,1896,P0
2015-03-03,24,1567,P0
2014-11-05,19,1260,P0
2015-03-02,17,1145,P0
2015-02-19,18,1353,P0
2014-11-06,20,1506,P0
2014-09-07,18,1235,P0
2015-03-03,14,952,P2
2014-12-23,24,1653,P0
2014-12-16,23,1737,P0
2015-02-09,20,1337,P0
2015-01-27,17,1199,P0
2015-02-05,25,1902,P0
2014-10-20,19,1264,P0
2015-01-05,19,1326,P0
2014-09-29,17,1405,P0
2015-03-03,14,1066,P2
2015-02-20,22,1615,P0
2014-06-15,26,1878,P0
2015-03-12,17,1099,P0
2015-03-14,22,1498,P0
2015-02-27,17,1174,P0
2015-03-04,22,1543,P0
2015-01-26,23,1504,P0
2015-02-27,22,1656,P0
2014-12-20,18,1180,P0
2014-12-28,17,1177,P0
2014-12-20,17,1164,P0
2014-07-24,18,1176,P0
2014-12-26,31,2238,P0
2015-01-10,20,1337,P0
2014-11-29,24,1654,P0
2015-01-13,21,1570,P0
2015-03-15,16,1144,P0
2014-12-14,14,1027,P2
2015-02-16,24,1689,P0
2015-02-09,15,1085,P0
2014-12-22,14,1079,P2
2014-11-16,19,1067,P0
2015-02-12,26,1674,P0
2014-12-11,25,1794,P0
2014-09-17,20,1356,P0
2015-03-10,25,1734,P0
2015-03-04,19,1337,P0
2015-01-22,18,1348,P0
2014-12-20,22,1442,P0
2015-03-12,25,1756,P0
2015-01-22,13,848,P2
2015-01-17,25,1782,P0
2014-12-27,14,1044,P2
2015-02-13,19,1368,P0
2015-03-02,16,1086,P0
2015-03-07,19,1265,P0
2014-09-08,29,2131,P0
2014-12-30,17,1174,P0
2014-12-08,17,1210,P0
2014-11-17,15,993,P2
2015-02-26,29,2103,P0
2015-02-09,31,2218,P0
2015-03-05,22,1443,P0
2014-10-13,24,1548,P0
2015-03-01,16,1192,P0
2014-09-17,18,1241,P0
2015-03-16,21,1607,P0
2015-01-03,17,1179,P0
2015-02-28,17,1035,P0
2015-03-16,24,1764,P0
2014-11-06,17,1331,P0
2015-01-31,20,1462,P0
2015-01-25,23,1393,P0
2014-12-07,27,1826,P0
2015-02-03,14,966,P2
2015-03-14,16,1053,P0
2014-11-24,15,994,P2
2015-03-06,27,1913,P0
2014-11-09,21,1562,P0
2015-02-05,19,1247,P0
2015-02-20,31,2076,P0
2015-01-30,15,1025,P0
2015-01-24,26,1732,P0
2014-12-16,14,851,P2
2015-02-16,21,1500,P0
2015-02-02,16,1165,P0
2015-02-28,18,1425,P0
2015-03-11,27,1783,P0
2014-11-21,25,1757,P0
2014-10-30,21,1462,P0
2015-02-05,14,959,P2
2015-02-09,22,1723,P0
2015-02-26,18,1315,P0
2015-02-25,22,1674,P0
2015-02-07,26,1867,P0
2015-01-31,25,1898,P0
2014-08-01,20,1418,P0
2015-02-16,13,921,P2
2015-02-04,16,1198,P0
2015-03-08,17,1271,P0
2015-03-03,23,1734,P0
2015-01-03,15,1072,P0
2015-03-04,24,1680,P0
2015-01-26,16,1154,P0
2015-02-26,19,1454,P0
2014-12-08,17,1175,P0
2015-03-02,26,1759,P0
2014-12-03,25,1796,P0
2015-01-08,18,1139,P0
2014-01-05,13,787,P2
2015-02-03,19,1389,P0
2014-06-26,26,1905,P0
2015-02-02,19,1469,P0
2015-03-06,21,1409,P0
2014-10-03,16,1123,P0
2015-02-04,19,1183,P0
2015-03-03,17,1110,P0
2015-03-13,21,1568,P0
2015-03-14,20,1432,P0
2015-02-26,22,1452,P0
2014-07-20,13,938,P2
2014-12-20,26,1812,P0
2015-01-25,22,1576,P0
2014-12-26,17,1279,P0
2015-03-07,11,716,P2
2015-03-09,24,1908,P0
2015-02-14,21,1444,P0
2014-12-04,14,1020,P2
2015-01-11,17,1212,P0
2014-11-27,22,1686,P0
2014-11-29,19,1256,P0
2015-02-28,17,1063,P0
2015-03-09,25,1717,P0
2015-01-08,21,1389,P0
2015-02-10,19,1198,P0
2015-03-09,16,1062,P0
2015-03-08,20,1376,P0
2014-12-29,24,1634,P0
2015-02-09,23,1635,P0
2015-02-25,27,1992,P0
2014-12-10,31,2245,P0
2014-11-23,25,1890,P0
2015-01-09,20,1271,P0
2015-01-09,16,1048,P0
2015-02-05,14,868,P2
2015-02-01,24,1472,P0
2014-10-26,20,1449,P0
2015-02-23,20,1416,P0
2015-01-20,16,1128,P0
2015-03-02,16,1054,P0
2015-02-20,19,1481,P0
2015-02-18,21,1491,P0
2014-12-14,25,1681,P0
2014-11-12,23,1775,P0
2015-01-23,18,1160,P0
2014-11-07,18,1278,P0
2014-10-09,13,902,P2
2015-01-19,9,673,P2
2015-01-25,15,1117,P0
2015-02-08,13,802,P2
2015-03-14,24,1781,P0
2014-11-30,18,1157,P0
2015-01-12,19,1506,P0
2015-02-05,23,1739,P0
2015-02-27,11,717,P2
2015-03-03,23,1591,P0
2014-05-11,14,927,P2
2015-01-30,18,1334,P0
2014-12-24,19,1262,P0
2015-03-03,21,1456,P0
2014-11-06,19,1357,P0
2014-09-26,12,874,P2
2015-01-02,21,1491,P0
2014-12-28,19,1470,P0
2015-02-20,11,729,P2
2014-11-19,24,1737,P0
2014-10-01,22,1620,P0
2015-02-13,15,1109,P0
2015-03-10,25,1826,P0
2014-11-14,18,1275,P0
2015-03-02,24,1551,P0
2015-02-12,28,2012,P0
2015-01-14,20,1423,P0
2014-12-01,27,1833,P0
2015-03-03,17,1255,P0
2015-01-01,16,1142,P0
2015-03-05,24,1667,P0
2015-03-14,23,1510,P0
2015-02-13,16,959,P2
2015-02-19,18,1254,P0
2014-09-15,6,497,P2
2015-03-08,23,1700,P0
2014-11-23,17,1028,P0
2014-10-17,13,871,P2
2014-03-18,20,1256,P0
2015-01-26,28,1939,P0
2015-01-24,26,2011,P0
2015-01-24,20,1418,P0
2014-12-29,30,2130,P0
2015-02-14,25,1774,P0
2015-03-12,28,2000,P0
2014-11-19,22,1511,P0
2014-11-25,19,1220,P0
2015-03-09,14,798,P2
2015-01-31,16,1095,P0
2014-12-10,22,1559,P0
2014-11-08,19,1236,P0
2014-10-24,21,1538,P0
2015-01-30,23,1568,P0
2015-01-31,18,1262,P0
2015-01-31,21,1517,P0
2014-12-24,15,1080,P0
2014-11-29,18,1231,P0
2015-02-21,22,1636,P0
2014-09-20,19,1297,P0
2014-07-07,25,1800,P0
2015-03-02,15,1044,P0
2014-12-17,18,1308,P0
2015-03-10,20,1459,P0
2015-02-27,20,1399,P0
2015-01-25,21,1527,P0
2015-03-06,22,1581,P0
2014-12-18,20,1400,P0
2015-01-21,17,1230,P0
2015-01-21,26,1989,P0
2015-03-15,23,1853,P0
2014-11-22,20,1331,P0
2014-12-10,18,1397,P0
2015-03-07,20,1534,P0
2015-03-11,21,1549,P0
2015-02-12,20,1361,P0
2014-08-27,16,1131,P0
2015-01-07,23,1698,P0
2014-11-29,16,987,P2
2014-11-15,22,1537,P0
2015-03-06,19,1424,P0
2015-02-19,15,1102,P0
2014-07-13,14,1062,P2
2015-03-09,19,1352,P0
2015-03-01,24,1499,P0
2014-11-04,17,1182,P0
2015-02-23,16,1159,P0
2015-02-05,18,1279,P0
2015-03-04,22,1429,P0
2015-02-04,29,1851,P0
2015-03-12,15,1133,P0
2015-02-05,16,1130,P0
2015-02-18,22,1630,P0
2014-11-08,10,664,P2
2014-09-19,21,1447,P0
2014-12-21,27,1974,P0
2015-03-15,14,1036,P2
2015-02-26,18,1299,P0
2014-12-31,31,2220,P0
2014-11-12,17,1145,P0
2015-02-27,22,1583,P0
2015-03-09,17,1298,P0
2015-02-20,32,2354,P0
2014-07-23,15,1070,P0
2014-05-13,15,1043,P0
2015-01-20,20,1411,P0
2015-02-15,17,1148,P0
2015-02-10,24,1720,P0
2015-03-10,23,1569,P0
2015-03-07,19,1286,P0
2015-01-22,18,1276,P0
2015-03-15,22,1677,P0
2015-02-13,18,1408,P0
2014-09-22,19,1164,P0
2014-11-09,16,1115,P0
2014-09-30,23,1490,P0
2015-01-17,28,2038,P0
2014-11-01,17,1153,P0
2015-02-23,25,1779,P0
2015-03-09,14,1002,P2
2015-01-07,21,1395,P0
2014-11-11,21,1280,P0
2015-01-23,19,1419,P0
2015-01-04,24,1687,P0
2015-02-01,20,1444,P0
2015-02-15,24,1662,P0
2015-01-06,15,1114,P0
2015-01-22,18,1331,P0
2015-03-05,21,1442,P0
2015-03-11,12,943,P2
2014-11-27,17,1076,P0
2013-10-17,14,1078,P2
2014-11-27,11,862,P2
2015-01-20,18,1177,P0
2015-03-03,11,871,P2
2014-12-15,21,1542,P0
2014-12-11,21,1595,P0
2014-09-28,20,1286,P0
2015-02-11,19,1404,P0
2015-03-03,19,1390,P0
2014-11-06,18,1331,P0
2014-07-05,16,1211,P0
2015-02-15,26,1981,P0
2015-01-21,17,1212,P0
2014-09-25,17,1176,P0
2014-12-25,17,1252,P0
2015-03-14,28,1907,P0
2015-03-13,25,1648,P0
2014-12-24,14,891,P2
2014-10-30,17,1046,P0
2015-02-20,25,1674,P0
2015-02-07,24,1737,P0
2014-10-24,19,1289,P0
2014-08-31,9,571,P2
2014-08-28,21,1447,P0
2015-02-26,19,1344,P0
2015-02-01,26,1827,P0
2014-07-19,24,1663,P0
2015-01-26,21,1523,P0
2015-02-06,18,1302,P0
2015-03-15,22,1347,P0
2014-08-12,20,1301,P0
2015-01-21,23,1643,P0
2015-01-06,21,1420,P0
2015-02-01,20,1219,P0
2015-01-09,20,1460,P0
2015-03-09,13,987,P2
2015-02-15,23,1611,P0
2015-02-24,22,1677,P0
